ToxPi Score,FIPS,Name,Source,Economic & Productivity Losses!1!0x88cceeff,Transition Risks!1!0x44aa99ff
0.500980727357795,26163534400,26163534400,"+42.3693259,-083.1588593",0.198682766190999,0.80327868852459
0.438412121430242,26163534500,26163534500,"+42.3652492,-083.1451954",0.0735455543358946,0.80327868852459
0.500431879937378,26163534600,26163534600,"+42.3555106,-083.1437193",0.197585071350165,0.80327868852459
0.613494448543305,26163534700,26163534700,"+42.3591263,-083.1538569",0.42371020856202,0.80327868852459
0.607457126918717,26163535000,26163535000,"+42.3603948,-083.1762139",0.411635565312843,0.80327868852459
0.528423098378651,26163535100,26163535100,"+42.3694786,-083.1753696",0.253567508232711,0.80327868852459
0.576721671375358,26163535200,26163535200,"+42.3783005,-083.1753987",0.350164654226125,0.80327868852459
0.684844613197531,26163535300,26163535300,"+42.3727250,-083.1899689",0.566410537870472,0.80327868852459
0.47518489859819,26163535400,26163535400,"+42.3619120,-083.1897249",0.147091108671789,0.80327868852459
0.554218927138256,26163535500,26163535500,"+42.3546687,-083.1894514",0.305159165751921,0.80327868852459
0.651913767972504,26163535600,26163535600,"+42.3551099,-083.1675599",0.500548847420417,0.80327868852459
0.444449443054831,26163535700,26163535700,"+42.3624512,-083.1629391",0.0856201975850713,0.80327868852459
0.509954832556549,26163536100,26163536100,"+42.4134413,-083.1504213",0.554335894621295,0.465573770491803
0.340909827068075,26163536200,26163536200,"+42.4127063,-083.1641142",0.216245883644347,0.465573770491803
0.452325853412751,26163536300,26163536300,"+42.4061973,-083.1501123",0.439077936333699,0.465573770491803
0.565838296953447,26163536400,26163536400,"+42.3989571,-083.1498100",0.371020856201976,0.760655737704918
0.573977434273272,26163536500,26163536500,"+42.3884460,-083.1445271",0.344676180021954,0.80327868852459
0.652462615392921,26163536600,26163536600,"+42.3899155,-083.1588972",0.501646542261251,0.80327868852459
